mag,encoder
0,6148
1,6150
2,6151
3,6149
4,6150
5,6148
6,6149
7,6151
8,6149
9,6147
10,6148
11,6149
12,6150
13,6149
14,6152
15,6152
16,6154
17,6160
18,6163
19,6161
20,6164
21,6165
22,6167
23,6169
24,6169
25,6171
26,6171
27,6170
28,6169
29,6175
30,6175
31,6175
32,6178
33,6175
34,6177
35,6181
36,6180
37,6181
38,6182
39,6183
40,6183
41,6185
42,6185
43,6188
44,6188
45,6191
46,6193
47,6194
48,6193
49,6197
50,6198
51,6200
52,6196
53,6199
54,6200
55,6203
56,6206
57,6205
58,6207
59,6207
60,6208
61,6210
62,6211
63,6213
64,6212
65,6216
66,6215
67,6218
68,6217
69,6223
70,6224
71,6223
72,6224
73,6224
74,6226
75,6228
76,6229
77,6231
78,6230
79,6231
80,6233
81,6233
82,6233
83,6237
84,6238
85,6240
86,6238
87,6239
88,6242
89,6243
90,6244
91,6244
92,6243
93,6248
94,6249
95,6250
96,6250
97,6251
98,6253
99,6252
100,6252
101,6256
102,6255
103,6258
104,6259
105,6260
106,6261
107,6259
108,6264
109,6267
110,6266
111,6269
112,6269
113,6272
114,6272
115,6273
116,6273
117,6275
118,6277
119,6275
120,6279
121,6278
122,6280
123,6280
124,6281
125,6284
126,6286
127,6286
128,6290
129,6288
130,6288
131,6294
132,6292
133,6297
134,6297
135,6297
136,6299
137,6300
138,6301
139,6301
140,6304
141,6305
142,6305
143,6310
144,6309
145,6312
146,6311
147,6310
148,6312
149,6313
150,6318
151,6315
152,6317
153,6319
154,6318
155,6320
156,6319
157,6322
158,6324
159,6326
160,6322
161,6326
162,6326
163,6329
164,6330
165,6329
166,6335
167,6333
168,6336
169,6335
170,6336
171,6339
172,6340
173,6339
174,6340
175,6341
176,6340
177,6341
178,6339
179,6342
180,6341
181,6340
182,6338
183,6342
184,6341
185,6338
186,6341
187,6339
188,6342
189,6344
190,6343
191,6346
192,6344
193,6344
194,6349
195,6348
196,6349
197,6347
198,6351
199,6351
200,6353
201,6354
202,6358
203,6357
204,6356
205,6359
206,6361
207,6365
208,6365
209,6366
210,6370
211,6369
212,6372
213,6372
214,6376
215,6375
216,6376
217,6380
218,6381
219,6383
220,6383
221,6385
222,6387
223,6390
224,6390
225,6392
226,6395
227,6393
228,6393
229,6393
230,6400
231,6398
232,6400
233,6402
234,6405
235,6402
236,6407
237,6407
238,6409
239,6410
240,6408
241,6414
242,6412
243,6413
244,6416
245,6416
246,6417
247,6421
248,6419
249,6421
250,6421
251,6424
252,6426
253,6425
254,6428
255,6426
256,6427
257,6430
258,6431
259,6432
260,6435
261,6435
262,6434
263,6437
264,6439
265,6439
266,6438
267,6442
268,6443
269,6443
270,6442
271,6444
272,6445
273,6448
274,6446
275,6448
276,6450
277,6451
278,6452
279,6454
280,6456
281,6455
282,6456
283,6459
284,6460
285,6459
286,6460
287,6462
288,6465
289,6467
290,6466
291,6468
292,6468
293,6470
294,6474
295,6474
296,6476
297,6475
298,6478
299,6480
300,6482
301,6482
302,6480
303,6482
304,6489
305,6490
306,6487
307,6493
308,6494
309,6495
310,6497
311,6499
312,6502
313,6504
314,6505
315,6507
316,6508
317,6508
318,6510
319,6511
320,6513
321,6512
322,6515
323,6518
324,6520
325,6523
326,6521
327,6524
328,6524
329,6525
330,6529
331,6532
332,6528
333,6530
334,6531
335,6532
336,6531
337,6534
338,6530
339,6530
340,6530
341,6529
342,6529
343,6528
344,6528
345,6530
346,6531
347,6530
348,6531
349,6531
350,6531
351,6531
352,6532
353,6533
354,6536
355,6537
356,6536
357,6541
358,6540
359,6541
360,6540
361,6542
362,6546
363,6546
364,6544
365,6547
366,6548
367,6551
368,6550
369,6552
370,6551
371,6555
372,6555
373,6558
374,6559
375,6556
376,6560
377,6558
378,6561
379,6563
380,6564
381,6566
382,6564
383,6569
384,6569
385,6570
386,6574
387,6572
388,6574
389,6575
390,6573
391,6577
392,6579
393,6581
394,6578
395,6582
396,6584
397,6584
398,6586
399,6586
400,6589
401,6588
402,6591
403,6590
404,6594
405,6592
406,6595
407,6594
408,6600
409,6600
410,6599
411,6600
412,6602
413,6603
414,6602
415,6606
416,6607
417,6607
418,6609
419,6610
420,6611
421,6612
422,6613
423,6614
424,6617
425,6617
426,6620
427,6619
428,6618
429,6620
430,6620
431,6622
432,6621
433,6624
434,6626
435,6627
436,6629
437,6629
438,6631
439,6632
440,6633
441,6634
442,6635
443,6633
444,6633
445,6640
446,6640
447,6640
448,6642
449,6645
450,6643
451,6642
452,6646
453,6647
454,6651
455,6648
456,6651
457,6652
458,6651
459,6654
460,6655
461,6654
462,6657
463,6661
464,6661
465,6661
466,6663
467,6665
468,6663
469,6667
470,6668
471,6671
472,6670
473,6673
474,6672
475,6674
476,6675
477,6677
478,6678
479,6679
480,6679
481,6682
482,6682
483,6683
484,6683
485,6687
486,6687
487,6692
488,6692
489,6695
490,6692
491,6694
492,6697
493,6695
494,6698
495,6700
496,6700
497,6699
498,6703
499,6703
500,6704
501,6705
502,6706
503,6709
504,6710
505,6713
506,6714
507,6713
508,6717
509,6718
510,6718
511,6718
512,6721
513,6721
514,6720
515,6722
516,6724
517,6725
518,6728
519,6726
520,6727
521,6726
522,6723
523,6726
524,6726
525,6726
526,6726
527,6724
528,6725
529,6725
530,6728
531,6724
532,6728
533,6727
534,6728
535,6731
536,6730
537,6732
538,6731
539,6735
540,6736
541,6737
542,6737
543,6741
544,6742
545,6742
546,6741
547,6749
548,6749
549,6747
550,6751
551,6751
552,6752
553,6755
554,6758
555,6756
556,6761
557,6761
558,6763
559,6764
560,6766
561,6766
562,6766
563,6771
564,6772
565,6772
566,6775
567,6774
568,6777
569,6777
570,6780
571,6782
572,6782
573,6784
574,6786
575,6784
576,6785
577,6787
578,6787
579,6792
580,6793
581,6793
582,6796
583,6795
584,6796
585,6798
586,6801
587,6802
588,6803
589,6802
590,6802
591,6802
592,6806
593,6809
594,6809
595,6809
596,6811
597,6811
598,6812
599,6812
600,6815
601,6814
602,6816
603,6817
604,6820
605,6821
606,6823
607,6819
608,6823
609,6825
610,6825
611,6826
612,6830
613,6827
614,6829
615,6833
616,6833
617,6834
618,6834
619,6836
620,6835
621,6839
622,6839
623,6841
624,6841
625,6843
626,6844
627,6846
628,6845
629,6849
630,6851
631,6849
632,6849
633,6854
634,6852
635,6856
636,6854
637,6858
638,6859
639,6861
640,6862
641,6860
642,6865
643,6864
644,6868
645,6870
646,6868
647,6871
648,6875
649,6875
650,6877
651,6883
652,6884
653,6883
654,6886
655,6887
656,6890
657,6893
658,6894
659,6894
660,6896
661,6899
662,6900
663,6902
664,6906
665,6907
666,6907
667,6910
668,6908
669,6912
670,6915
671,6915
672,6917
673,6921
674,6919
675,6923
676,6922
677,6920
678,6922
679,6920
680,6921
681,6920
682,6921
683,6920
684,6918
685,6919
686,6918
687,6920
688,6921
689,6923
690,6921
691,6922
692,6923
693,6922
694,6924
695,6927
696,6927
697,6930
698,6930
699,6932
700,6932
701,6934
702,6934
703,6936
704,6937
705,6940
706,6943
707,6941
708,6945
709,6943
710,6946
711,6945
712,6947
713,6949
714,6948
715,6950
716,6949
717,6953
718,6951
719,6955
720,6957
721,6955
722,6959
723,6959
724,6960
725,6960
726,6962
727,6961
728,6963
729,6967
730,6969
731,6968
732,6971
733,6970
734,6971
735,6971
736,6974
737,6976
738,6978
739,6976
740,6979
741,6978
742,6980
743,6982
744,6984
745,6982
746,6985
747,6987
748,6989
749,6990
750,6987
751,6993
752,6991
753,6991
754,6994
755,6992
756,6994
757,6997
758,6996
759,6998
760,7001
761,7002
762,7001
763,7002
764,7005
765,7002
766,7006
767,7003
768,7006
769,7009
770,7009
771,7011
772,7013
773,7012
774,7012
775,7013
776,7014
777,7017
778,7015
779,7017
780,7021
781,7020
782,7022
783,7021
784,7023
785,7023
786,7025
787,7027
788,7028
789,7029
790,7031
791,7029
792,7029
793,7033
794,7033
795,7034
796,7035
797,7037
798,7039
799,7037
800,7041
801,7041
802,7043
803,7045
804,7043
805,7050
806,7049
807,7050
808,7050
809,7050
810,7052
811,7053
812,7056
813,7057
814,7057
815,7055
816,7058
817,7063
818,7063
819,7067
820,7064
821,7064
822,7068
823,7067
824,7070
825,7071
826,7076
827,7072
828,7074
829,7076
830,7077
831,7083
832,7078
833,7080
834,7081
835,7083
836,7085
837,7087
838,7086
839,7087
840,7089
841,7092
842,7092
843,7093
844,7095
845,7095
846,7097
847,7098
848,7099
849,7103
850,7105
851,7104
852,7106
853,7106
854,7108
855,7107
856,7106
857,7108
858,7107
859,7108
860,7109
861,7108
862,7108
863,7109
864,7108
865,7106
866,7109
867,7110
868,7109
869,7108
870,7109
871,7109
872,7112
873,7113
874,7115
875,7115
876,7115
877,7116
878,7118
879,7120
880,7118
881,7124
882,7124
883,7127
884,7123
885,7129
886,7130
887,7134
888,7133
889,7136
890,7136
891,7137
892,7137
893,7139
894,7143
895,7142
896,7143
897,7148
898,7144
899,7149
900,7153
901,7154
902,7152
903,7160
904,7159
905,7156
906,7159
907,7164
908,7163
909,7164
910,7165
911,7167
912,7167
913,7167
914,7170
915,7168
916,7170
917,7174
918,7174
919,7175
920,7178
921,7177
922,7179
923,7181
924,7181
925,7185
926,7184
927,7183
928,7187
929,7188
930,7189
931,7189
932,7193
933,7190
934,7193
935,7194
936,7196
937,7198
938,7197
939,7199
940,7199
941,7202
942,7204
943,7203
944,7205
945,7205
946,7206
947,7209
948,7209
949,7210
950,7214
951,7213
952,7214
953,7213
954,7217
955,7217
956,7220
957,7218
958,7219
959,7221
960,7224
961,7224
962,7225
963,7227
964,7227
965,7229
966,7228
967,7234
968,7231
969,7236
970,7236
971,7238
972,7239
973,7240
974,7243
975,7242
976,7246
977,7246
978,7248
979,7253
980,7251
981,7250
982,7256
983,7256
984,7256
985,7258
986,7260
987,7266
988,7262
989,7265
990,7269
991,7273
992,7269
993,7274
994,7275
995,7279
996,7280
997,7283
998,7283
999,7286
1000,7285
1001,7287
1002,7292
1003,7288
1004,7295
1005,7292
1006,7297
1007,7298
1008,7299
1009,7300
1010,7303
1011,7304
1012,7305
1013,7303
1014,7305
1015,7306
1016,7304
1017,7304
1018,7304
1019,7304
1020,7304
1021,7304
1022,7304
1023,7307
1024,7305
1025,7307
1026,7307
1027,7306
1028,7310
1029,7309
1030,7311
1031,7309
1032,7309
1033,7311
1034,7314
1035,7309
1036,7311
1037,7317
1038,7318
1039,7318
1040,7317
1041,7321
1042,7321
1043,7324
1044,7326
1045,7326
1046,7326
1047,7326
1048,7327
1049,7332
1050,7330
1051,7331
1052,7332
1053,7331
1054,7336
1055,7336
1056,7337
1057,7339
1058,7339
1059,7341
1060,7343
1061,7342
1062,7341
1063,7344
1064,7345
1065,7346
1066,7347
1067,7350
1068,7350
1069,7350
1070,7352
1071,7354
1072,7356
1073,7357
1074,7360
1075,7359
1076,7360
1077,7365
1078,7363
1079,7363
1080,7367
1081,7366
1082,7371
1083,7367
1084,7371
1085,7371
1086,7373
1087,7375
1088,7374
1089,7376
1090,7379
1091,7377
1092,7380
1093,7378
1094,7381
1095,7383
1096,7383
1097,7382
1098,7388
1099,7386
1100,7388
1101,7389
1102,7393
1103,7390
1104,7390
1105,7395
1106,7394
1107,7396
1108,7398
1109,7395
1110,7398
1111,7401
1112,7399
1113,7401
1114,7403
1115,7403
1116,7404
1117,7406
1118,7408
1119,7408
1120,7408
1121,7411
1122,7409
1123,7411
1124,7412
1125,7416
1126,7414
1127,7417
1128,7417
1129,7419
1130,7417
1131,7420
1132,7420
1133,7421
1134,7423
1135,7423
1136,7427
1137,7428
1138,7429
1139,7430
1140,7431
1141,7431
1142,7431
1143,7432
1144,7438
1145,7436
1146,7439
1147,7439
1148,7438
1149,7441
1150,7441
1151,7444
1152,7444
1153,7446
1154,7448
1155,7449
1156,7453
1157,7451
1158,7453
1159,7454
1160,7455
1161,7459
1162,7459
1163,7461
1164,7459
1165,7462
1166,7463
1167,7464
1168,7463
1169,7466
1170,7469
1171,7469
1172,7471
1173,7472
1174,7471
1175,7473
1176,7476
1177,7480
1178,7475
1179,7478
1180,7478
1181,7479
1182,7480
1183,7483
1184,7485
1185,7482
1186,7483
1187,7486
1188,7487
1189,7489
1190,7491
1191,7490
1192,7494
1193,7496
1194,7494
1195,7499
1196,7494
1197,7496
1198,7498
1199,7498
1200,7499
1201,7501
1202,7498
1203,7499
1204,7496
1205,7497
1206,7500
1207,7500
1208,7501
1209,7499
1210,7501
1211,7499
1212,7499
1213,7503
1214,7502
1215,7503
1216,7502
1217,7502
1218,7501
1219,7504
1220,7506
1221,7506
1222,7510
1223,7514
1224,7511
1225,7514
1226,7516
1227,7517
1228,7517
1229,7522
1230,7521
1231,7525
1232,7527
1233,7523
1234,7525
1235,7532
1236,7531
1237,7530
1238,7536
1239,7537
1240,7536
1241,7542
1242,7541
1243,7542
1244,7543
1245,7545
1246,7545
1247,7547
1248,7548
1249,7553
1250,7551
1251,7556
1252,7554
1253,7555
1254,7555
1255,7559
1256,7560
1257,7560
1258,7564
1259,7564
1260,7567
1261,7568
1262,7568
1263,7569
1264,7569
1265,7572
1266,7573
1267,7572
1268,7576
1269,7576
1270,7578
1271,7577
1272,7580
1273,7580
1274,7583
1275,7584
1276,7586
1277,7585
1278,7586
1279,7586
1280,7591
1281,7590
1282,7592
1283,7590
1284,7595
1285,7594
1286,7599
1287,7598
1288,7599
1289,7600
1290,7601
1291,7604
1292,7602
1293,7605
1294,7606
1295,7607
1296,7607
1297,7607
1298,7609
1299,7609
1300,7611
1301,7612
1302,7613
1303,7617
1304,7614
1305,7618
1306,7621
1307,7621
1308,7618
1309,7624
1310,7624
1311,7624
1312,7627
1313,7629
1314,7632
1315,7631
1316,7635
1317,7634
1318,7637
1319,7638
1320,7635
1321,7639
1322,7643
1323,7644
1324,7645
1325,7648
1326,7646
1327,7649
1328,7649
1329,7651
1330,7654
1331,7655
1332,7657
1333,7657
1334,7662
1335,7664
1336,7664
1337,7664
1338,7671
1339,7666
1340,7671
1341,7674
1342,7672
1343,7673
1344,7676
1345,7678
1346,7677
1347,7680
1348,7680
1349,7684
1350,7685
1351,7684
1352,7687
1353,7690
1354,7690
1355,7691
1356,7692
1357,7693
1358,7695
1359,7693
1360,7695
1361,7695
1362,7691
1363,7693
1364,7690
1365,7694
1366,7692
1367,7692
1368,7693
1369,7696
1370,7693
1371,7695
1372,7695
1373,7694
1374,7695
1375,7698
1376,7698
1377,7698
1378,7700
1379,7698
1380,7701
1381,7701
1382,7704
1383,7704
1384,7710
1385,7708
1386,7707
1387,7710
1388,7713
1389,7710
1390,7711
1391,7713
1392,7713
1393,7716
1394,7714
1395,7718
1396,7716
1397,7720
1398,7720
1399,7722
1400,7723
1401,7722
1402,7724
1403,7726
1404,7726
1405,7729
1406,7730
1407,7730
1408,7730
1409,7734
1410,7734
1411,7735
1412,7736
1413,7737
1414,7739
1415,7740
1416,7740
1417,7741
1418,7744
1419,7744
1420,7746
1421,7744
1422,7749
1423,7749
1424,7752
1425,7752
1426,7754
1427,7755
1428,7754
1429,7756
1430,7758
1431,7758
1432,7761
1433,7764
1434,7761
1435,7763
1436,7767
1437,7766
1438,7769
1439,7769
1440,7769
1441,7771
1442,7771
1443,7773
1444,7774
1445,7776
1446,7778
1447,7778
1448,7778
1449,7782
1450,7782
1451,7781
1452,7786
1453,7785
1454,7788
1455,7788
1456,7789
1457,7790
1458,7791
1459,7792
1460,7790
1461,7794
1462,7796
1463,7797
1464,7797
1465,7798
1466,7800
1467,7799
1468,7800
1469,7803
1470,7803
1471,7807
1472,7801
1473,7808
1474,7807
1475,7811
1476,7811
1477,7813
1478,7812
1479,7813
1480,7816
1481,7817
1482,7817
