a,b,c,alpha,beta
425,458,-869,-56,95
489,406,-864,-56,95
532,329,-834,-56,95
574,232,-788,-56,95
608,156,-738,-56,95
633,82,-704,-56,95
679,25,-674,-56,95
711,-16,-670,-56,95
740,-51,-675,-56,95
767,-98,-645,-56,95
806,-156,-604,-56,95
795,-217,-563,-56,95
807,-260,-520,-56,95
811,-301,-487,-56,95
822,-356,-448,-56,95
837,-407,-402,-56,95
814,-479,-311,-56,95
796,-562,-212,-56,95
787,-626,-139,-56,95
775,-675,-88,-56,95
754,-709,-26,-56,95
742,-729,14,-56,95
712,-754,50,-56,95
678,-764,104,-56,95
640,-781,149,-56,95
612,-797,192,-56,95
589,-812,238,-56,95
550,-840,288,-56,95
508,-850,352,-56,95
448,-851,418,-56,95
367,-829,461,-56,95
300,-798,501,-56,95
223,-759,531,-56,95
166,-731,553,-56,95
83,-676,592,-56,95
3,-637,637,-56,95
-32,-648,660,-56,95
-67,-635,693,-56,95
-117,-608,721,-56,95
-164,-598,738,-56,95
-222,-542,753,-56,95
-279,-500,766,-56,95
-343,-452,769,-56,95
-412,-381,771,-56,95
-483,-302,773,-56,95
-559,-248,776,-56,95
-617,-159,760,-56,95
-672,-80,736,-56,95
-715,-29,718,-56,95
-741,7,713,-56,95
-756,40,709,-56,95
-778,65,687,-56,95
-784,134,631,-56,95
-804,196,580,-56,95
-819,228,555,-56,95
-835,299,527,-56,95
-862,339,494,-56,95
-877,393,468,-56,95
-865,450,401,-56,95
-823,492,306,-56,95
-770,527,230,-56,95
-722,557,161,-56,95
-684,577,88,-56,95
-661,614,34,-56,95
-659,649,2,-56,95
-641,670,-42,-56,95
-604,698,-98,-56,95
-592,719,-149,-56,95
-550,738,-194,-56,95
-535,759,-223,-56,95
-499,765,-278,-56,95
-422,767,-341,-56,95
-353,770,-415,-56,95
-278,761,-491,-56,95
-197,758,-555,-56,95
-134,760,-612,-56,95
-82,753,-664,-56,95
-5,714,-694,-56,95
74,702,-716,-56,95
58,684,-738,-56,95
109,662,-753,-56,95
153,634,-767,-56,95
200,609,-789,-56,95
257,579,-803,-56,95
313,531,-829,-56,95
384,488,-838,-56,95
443,440,-850,-56,95
494,364,-843,-56,95
539,287,-796,-56,95
558,203,-749,-56,95
597,125,-704,-56,95
642,56,-669,-56,95
676,-7,-655,-56,95
709,-24,-661,-56,95
733,-64,-639,-56,95
750,-128,-604,-56,95
768,-190,-554,-56,95
775,-244,-510,-56,95
793,-295,-477,-56,95
795,-348,-421,-56,95
807,-406,-392,-56,95
813,-476,-310,-56,95
807,-550,-230,-56,95
783,-616,-158,-56,95
764,-661,-65,-56,95
736,-695,-18,-56,95
717,-717,13,-56,95
709,-739,52,-56,95
678,-756,92,-56,95
639,-775,141,-56,95
608,-787,197,-56,95
574,-812,244,-56,95
551,-832,287,-56,95
523,-855,348,-56,95
427,-838,405,-56,95
362,-820,456,-56,95
275,-772,506,-56,95
195,-740,535,-56,95
125,-692,570,-56,95
64,-674,605,-56,95
-12,-637,636,-56,95
-41,-630,668,-56,95
-75,-626,699,-56,95
-134,-603,716,-56,95
-188,-568,741,-56,95
-232,-532,759,-56,95
-301,-483,753,-56,95
-359,-422,761,-56,95
-428,-348,762,-56,95
-519,-266,756,-56,95
-574,-200,761,-56,95
-635,-135,756,-56,95
-689,-70,728,-56,95
-722,-18,720,-56,95
-742,20,712,-56,95
-766,34,700,-56,95
-775,75,685,-56,95
-796,124,647,-56,95
-810,183,603,-56,95
-821,249,557,-56,95
-841,303,524,-56,95
-892,351,488,-56,95
-876,406,455,-56,95
-874,452,400,-56,95
-832,498,309,-56,95
-776,539,231,-56,95
-728,560,148,-56,95
-682,590,77,-56,95
-650,627,14,-56,95
-654,652,-4,-56,95
-631,672,-62,-56,95
-601,707,-107,-56,95
-570,724,-164,-56,95
-541,746,-213,-56,95
-506,765,-257,-56,95
-468,770,-306,-56,95
-406,771,-372,-56,95
-313,769,-450,-56,95
-236,757,-524,-56,95
