a,b,c,alpha,beta,Id,Iq,theta
-485,-90,573,485,-382,55,-304,1900
-509,-77,572,509,-374,74,-307,1844
-527,-56,569,527,-360,81,-309,1858
-534,-38,571,534,-351,98,-304,1760
-542,-31,562,542,-342,115,-299,1690
-558,-16,557,558,-330,129,-298,1662
-562,-7,561,562,-327,142,-293,1564
-566,1,565,566,-325,145,-293,1536
-570,-2,556,570,-322,154,-289,1480
-569,5,562,569,-321,158,-286,1466
-573,6,570,573,-325,172,-281,1340
-584,12,564,584,-318,189,-274,1242
-587,18,557,587,-311,192,-271,1242
-581,19,560,581,-312,192,-268,1186
-590,20,559,590,-311,206,-262,1088
-586,27,543,586,-297,207,-255,1088
-579,35,540,579,-291,217,-240,990
-584,45,531,584,-280,227,-231,920
-588,52,514,588,-266,234,-222,878
-581,70,508,581,-252,241,-205,794
-579,80,500,579,-242,244,-197,738
-581,90,485,581,-228,251,-185,682
-580,98,476,580,-218,256,-174,612
-583,110,465,583,-204,264,-161,570
-579,119,448,579,-189,267,-146,500
-574,134,437,574,-174,271,-129,402
-580,150,424,580,-158,275,-121,402
-578,157,408,578,-144,278,-107,346
-575,188,399,575,-121,280,-89,276
-577,183,394,577,-121,284,-79,178
-574,201,377,574,-101,283,-68,164
-584,207,357,584,-86,290,-54,108
-584,225,353,584,-73,292,-37,24
-582,244,340,582,-55,291,-24,16366
-590,254,321,590,-38,295,-12,16324
-591,273,313,591,-23,295,6,16254
-593,292,303,593,-6,295,22,16170
-601,306,287,601,10,298,38,16100
-603,324,268,603,32,296,56,16044
-603,346,251,603,54,294,70,16030
-604,359,248,604,64,292,83,15946
-601,365,229,601,78,285,100,15862
-607,382,219,607,94,287,108,15848
-609,400,209,609,110,283,123,15778
-612,412,199,612,122,282,133,15750
-614,414,188,614,130,278,144,15694
-612,428,181,612,142,270,160,15610
-609,445,167,609,160,261,174,15540
-617,455,153,617,174,261,185,15498
-614,463,137,614,188,252,198,15442
-607,475,126,607,201,244,206,15400
-608,486,124,608,208,238,215,15344
-609,486,105,609,219,231,226,15288
-605,501,95,605,234,220,237,15204
-598,516,86,598,248,208,247,15148
-601,522,66,601,263,199,260,15078
-599,534,51,599,278,188,270,15022
-589,549,38,589,295,173,280,14966
-586,553,28,586,303,166,284,14924
-589,558,18,589,311,154,294,14826
-579,557,12,579,314,142,296,14770
-568,557,6,568,318,133,296,14728
-565,561,8,565,319,124,299,14658
