index,theta,A,B,C,X,Y,Id,Iq
0,3.35,-1.00,2.00,0.00,-1.63,1.41,1.30,-1.72
1,3.91,3.00,-4.00,2.00,3.27,-4.24,0.59,5.32
2,4.46,4.00,-3.00,0.00,4.49,-2.12,0.94,4.88
3,4.99,5.00,-1.00,-2.00,5.31,0.71,0.80,5.29
4,5.52,4.00,1.00,-3.00,4.08,2.83,1.01,4.86
5,6.03,1.00,3.00,-3.00,0.82,4.24,-0.27,4.31
6,0.28,0.00,5.00,-3.00,-0.82,5.66,0.79,5.66
7,0.80,-2.00,5.00,0.00,-3.67,3.54,-0.00,5.10
8,1.32,-3.00,4.00,1.00,-4.49,2.12,0.94,4.88
9,1.86,-4.00,1.00,4.00,-5.31,-2.12,-0.52,5.69
10,2.38,-2.00,0.00,5.00,-3.67,-3.54,0.22,5.09
11,2.89,0.00,-3.00,5.00,-0.82,-5.66,-0.62,5.68
12,3.41,1.00,-4.00,4.00,0.82,-5.66,0.69,5.67
13,3.90,4.00,-4.00,1.00,4.49,-3.54,-0.81,5.66
14,4.43,5.00,-3.00,0.00,5.31,-2.12,0.56,5.69
15,4.96,6.00,0.00,-3.00,6.12,2.12,-0.57,6.45
16,5.50,4.00,1.00,-4.00,4.49,3.54,0.68,5.68
17,5.99,1.00,4.00,-4.00,0.82,5.66,-0.83,5.66
18,0.21,0.00,5.00,-3.00,-0.82,5.66,0.37,5.70
19,0.75,-3.00,6.00,-1.00,-4.49,4.95,0.12,6.68
20,1.25,-4.00,4.00,1.00,-5.31,2.12,0.35,5.70
21,1.79,-4.00,2.00,4.00,-5.71,-1.41,-0.16,5.88
22,2.30,-3.00,0.00,4.00,-4.08,-2.83,0.62,4.93
23,2.86,0.00,-3.00,5.00,-0.82,-5.66,-0.79,5.66
24,3.38,1.00,-3.00,4.00,0.41,-4.95,0.78,4.91
25,3.91,3.00,-3.00,2.00,2.86,-3.54,0.40,4.53
26,4.47,4.00,-2.00,0.00,4.08,-1.41,0.38,4.30
27,4.98,5.00,0.00,-2.00,4.90,1.41,-0.06,5.10
28,5.53,3.00,1.00,-3.00,3.27,2.83,0.47,4.29
29,6.07,1.00,3.00,-3.00,0.82,4.24,-0.11,4.32
30,0.36,0.00,4.00,-2.00,-0.82,4.24,0.71,4.26
31,0.91,-2.00,4.00,0.00,-3.27,2.83,0.25,4.31
32,1.47,-2.00,3.00,1.00,-3.27,1.41,1.07,3.40
33,2.02,-3.00,1.00,3.00,-4.08,-1.41,0.49,4.29
34,2.59,-1.00,0.00,3.00,-2.04,-2.12,0.62,2.88
35,3.12,0.00,-2.00,3.00,-0.41,-3.54,0.32,3.54
36,3.66,1.00,-2.00,2.00,0.82,-2.83,0.70,2.86
37,4.26,3.00,-2.00,1.00,2.86,-2.12,0.65,3.50
38,4.79,3.00,-1.00,0.00,2.86,-0.71,0.93,2.79
39,5.35,3.00,0.00,-2.00,3.27,1.41,0.81,3.47
40,5.89,2.00,1.00,-2.00,2.04,2.12,1.07,2.74
41,0.18,0.00,3.00,-2.00,-0.41,3.54,0.22,3.55
42,0.71,-1.00,3.00,-1.00,-1.63,2.83,0.59,3.21
43,1.26,-2.00,3.00,0.00,-2.86,2.12,1.16,3.36
44,1.84,-2.00,2.00,2.00,-3.27,0.00,0.87,3.15
45,2.37,-2.00,0.00,3.00,-2.86,-2.12,0.59,3.51
46,2.91,0.00,-1.00,4.00,-1.22,-3.54,0.37,3.72
47,3.45,0.00,-2.00,3.00,-0.41,-3.54,1.46,3.25
48,3.98,3.00,-3.00,1.00,3.27,-2.83,-0.10,4.32
49,4.50,4.00,-2.00,0.00,4.08,-1.41,0.51,4.29
50,5.06,5.00,-1.00,-2.00,5.31,0.71,1.12,5.23
51,5.60,3.00,1.00,-3.00,3.27,2.83,0.73,4.26
52,6.12,1.00,3.00,-3.00,0.82,4.24,0.13,4.32
53,0.36,0.00,4.00,-2.00,-0.82,4.24,0.74,4.26
54,0.88,-2.00,5.00,0.00,-3.67,3.54,0.40,5.08
55,1.40,-3.00,3.00,1.00,-4.08,1.41,0.70,4.26
56,1.91,-4.00,1.00,4.00,-5.31,-2.12,-0.24,5.71
57,2.42,-2.00,0.00,5.00,-3.67,-3.54,0.44,5.08
58,2.99,0.00,-3.00,5.00,-0.82,-5.66,-0.06,5.72
59,3.49,2.00,-3.00,3.00,1.63,-4.24,-0.11,4.54
60,4.01,4.00,-4.00,1.00,4.49,-3.54,-0.19,5.71
61,4.53,5.00,-2.00,0.00,4.90,-1.41,0.49,5.07
62,5.06,5.00,0.00,-3.00,5.31,2.12,-0.21,5.71
63,5.58,3.00,1.00,-4.00,3.67,3.54,0.50,5.07
64,6.09,1.00,4.00,-4.00,0.82,5.66,-0.30,5.71
65,0.36,0.00,5.00,-2.00,-1.22,4.95,0.61,5.06
66,0.88,-3.00,5.00,0.00,-4.49,3.54,-0.12,5.71
67,1.40,-3.00,0.00,1.00,-2.86,-0.71,-1.19,2.69
68,1.94,-4.00,1.00,4.00,-5.31,-2.12,-0.07,5.71
69,2.47,-2.00,0.00,4.00,-3.27,-2.83,0.78,4.25
70,2.96,0.00,-3.00,5.00,-0.82,-5.66,-0.20,5.71
71,3.51,1.00,-4.00,3.00,1.22,-4.95,0.64,5.06
72,4.08,4.00,-3.00,1.00,4.08,-2.83,-0.13,4.96
73,4.60,4.00,-2.00,0.00,4.08,-1.41,0.96,4.21
74,5.15,4.00,0.00,-2.00,4.08,1.41,0.47,4.29
75,5.69,3.00,1.00,-3.00,3.27,2.83,1.12,4.17
76,6.20,1.00,3.00,-3.00,0.82,4.24,0.48,4.29
77,0.47,0.00,4.00,-2.00,-0.82,4.24,1.18,4.16
78,1.01,-2.00,4.00,0.00,-3.27,2.83,0.64,4.27
79,1.57,-3.00,3.00,1.00,-4.08,1.41,1.41,4.08
80,2.10,-3.00,1.00,3.00,-4.08,-1.41,0.83,4.24
81,2.63,-1.00,0.00,4.00,-2.45,-2.83,0.74,3.67
82,3.16,0.00,-2.00,4.00,-0.82,-4.24,0.89,4.23
83,3.69,2.00,-3.00,2.00,2.04,-3.54,0.09,4.08
84,4.22,3.00,-3.00,1.00,3.27,-2.83,0.96,4.21
85,4.74,4.00,-1.00,-1.00,4.08,0.00,0.10,4.08
86,5.30,4.00,0.00,-3.00,4.49,2.12,0.70,4.92
87,5.80,2.00,2.00,-3.00,2.04,3.54,0.18,4.08
88,0.04,1.00,4.00,-3.00,0.41,4.95,0.59,4.93
89,0.56,-1.00,4.00,-1.00,-2.04,3.54,0.17,4.08
90,1.08,-3.00,4.00,0.00,-4.08,2.83,0.57,4.93
91,1.57,-4.00,3.00,2.00,-5.31,0.71,0.71,5.31
92,2.10,-4.00,1.00,4.00,-5.31,-2.12,0.84,5.65
93,2.62,-2.00,-1.00,5.00,-3.27,-4.24,0.72,5.31
94,3.12,0.00,-3.00,5.00,-0.82,-5.66,0.71,5.67
95,3.63,2.00,-5.00,3.00,2.45,-5.66,0.51,6.14
96,4.14,4.00,-4.00,1.00,4.49,-3.54,0.55,5.69
97,4.63,6.00,-2.00,-1.00,6.12,-0.71,0.22,6.16
98,5.15,5.00,0.00,-3.00,5.31,2.12,0.35,5.70
99,5.64,3.00,2.00,-4.00,3.27,4.24,0.06,5.35
100,6.18,1.00,4.00,-4.00,0.82,5.66,0.22,5.71
101,0.40,-1.00,5.00,-2.00,-2.04,4.95,0.07,5.35
102,0.88,-3.00,5.00,0.00,-4.49,3.54,-0.12,5.71
103,1.40,-4.00,4.00,2.00,-5.71,1.41,0.42,5.87
104,1.91,-4.00,1.00,4.00,-5.31,-2.12,-0.24,5.71
105,2.42,-2.00,-1.00,5.00,-3.27,-4.24,-0.33,5.34
106,2.91,0.00,-3.00,5.00,-0.82,-5.66,-0.51,5.69
107,3.47,2.00,-4.00,4.00,1.63,-5.66,0.30,5.88
108,3.99,4.00,-4.00,1.00,4.49,-3.54,-0.33,5.71
109,4.49,5.00,-2.00,0.00,4.90,-1.41,0.31,5.09
110,5.03,5.00,0.00,-3.00,5.31,2.12,-0.35,5.70
111,5.53,3.00,1.00,-3.00,3.27,2.83,0.44,4.30
112,6.06,1.00,4.00,-4.00,0.82,5.66,-0.48,5.70
113,0.31,0.00,5.00,-2.00,-1.22,4.95,0.33,5.09
114,0.87,-3.00,5.00,0.00,-4.49,3.54,-0.19,5.71
115,1.41,-3.00,3.00,1.00,-4.08,1.41,0.75,4.25
116,1.93,-3.00,1.00,3.00,-4.08,-1.41,0.12,4.32
117,2.47,-2.00,0.00,4.00,-3.27,-2.83,0.81,4.24
118,3.00,0.00,-2.00,4.00,-0.82,-4.24,0.21,4.32
119,3.55,1.00,-3.00,3.00,0.82,-4.24,0.92,4.22
120,4.09,3.00,-3.00,1.00,3.27,-2.83,0.38,4.30
121,4.65,4.00,-2.00,0.00,4.08,-1.41,1.16,4.16
122,5.20,4.00,0.00,-2.00,4.08,1.41,0.65,4.27
123,5.72,2.00,1.00,-3.00,2.45,2.83,0.58,3.70
124,6.24,1.00,3.00,-3.00,0.82,4.24,0.63,4.27
125,0.50,0.00,4.00,-1.00,-1.22,3.54,0.61,3.69
126,1.04,-2.00,4.00,0.00,-3.27,2.83,0.77,4.25
127,1.55,-3.00,3.00,2.00,-4.49,0.71,0.62,4.50
128,2.10,-3.00,1.00,4.00,-4.49,-2.12,0.46,4.94
129,2.61,-1.00,-1.00,4.00,-2.04,-3.54,-0.04,4.08
130,3.14,0.00,-3.00,4.00,-0.41,-4.95,0.41,4.95
131,3.65,2.00,-3.00,3.00,1.63,-4.24,0.64,4.50
132,4.16,4.00,-4.00,1.00,4.49,-3.54,0.65,5.68
133,4.68,5.00,-2.00,-1.00,5.31,-0.71,0.54,5.33
134,5.17,5.00,0.00,-3.00,5.31,2.12,0.46,5.70
135,5.69,3.00,2.00,-4.00,3.27,4.24,0.36,5.34
136,6.20,1.00,4.00,-4.00,0.82,5.66,0.33,5.71
137,0.40,-1.00,5.00,-2.00,-2.04,4.95,0.04,5.35
138,0.91,-4.00,5.00,0.00,-5.31,3.54,-0.48,6.36
139,1.42,-4.00,3.00,2.00,-5.31,0.71,-0.11,5.35
140,1.88,-4.00,1.00,4.00,-5.31,-2.12,-0.38,5.70
141,2.37,-3.00,-1.00,6.00,-4.49,-4.95,-0.20,6.68
142,2.90,0.00,-4.00,6.00,-0.82,-7.07,-0.88,7.06
143,3.39,2.00,-4.00,4.00,1.63,-5.66,-0.17,5.89
144,3.88,4.00,-4.00,1.00,4.49,-3.54,-0.92,5.64
145,4.36,6.00,-3.00,0.00,6.12,-2.12,-0.11,6.48
146,4.86,6.00,-1.00,-3.00,6.53,1.41,-0.44,6.67
147,5.35,5.00,1.00,-4.00,5.31,3.54,0.32,6.37
148,5.84,2.00,4.00,-5.00,2.04,6.36,-0.92,6.62
149,0.09,0.00,5.00,-4.00,-0.41,6.36,0.14,6.38
150,0.58,-3.00,6.00,-1.00,-4.49,4.95,-1.02,6.60
151,1.07,-4.00,5.00,0.00,-5.31,3.54,0.54,6.35
152,1.58,-5.00,3.00,3.00,-6.53,0.00,0.08,6.53
153,2.07,-4.00,0.00,4.00,-4.90,-2.83,-0.12,5.66
154,2.58,-1.00,-2.00,6.00,-2.45,-5.66,-0.96,6.09
155,3.09,0.00,-4.00,5.00,-0.41,-6.36,0.10,6.38
156,3.64,2.00,-4.00,3.00,2.04,-4.95,0.57,5.32
157,4.13,4.00,-3.00,1.00,4.08,-2.83,0.11,4.96
158,4.66,5.00,-2.00,-1.00,5.31,-0.71,0.41,5.34
159,5.18,5.00,0.00,-3.00,5.31,2.12,0.53,5.69
160,5.69,3.00,2.00,-4.00,3.27,4.24,0.33,5.34
161,6.21,1.00,4.00,-3.00,0.41,4.95,0.04,4.97
162,0.45,-1.00,5.00,-2.00,-2.04,4.95,0.34,5.34
163,1.02,-3.00,4.00,0.00,-4.08,2.83,0.27,4.96
164,1.55,-3.00,2.00,2.00,-4.08,0.00,-0.10,4.08
165,2.06,-3.00,1.00,3.00,-4.08,-1.41,0.65,4.27
166,2.60,-1.00,-1.00,4.00,-2.04,-3.54,-0.09,4.08
167,3.12,0.00,-2.00,4.00,-0.82,-4.24,0.71,4.26
168,3.63,2.00,-3.00,3.00,1.63,-4.24,0.56,4.51
169,4.17,4.00,-3.00,1.00,4.08,-2.83,0.33,4.96
170,4.71,5.00,-2.00,-1.00,5.31,-0.71,0.71,5.31
171,5.25,4.00,0.00,-2.00,4.08,1.41,0.86,4.23
172,5.76,2.00,2.00,-4.00,2.45,4.24,-0.02,4.90
173,6.27,1.00,4.00,-3.00,0.41,4.95,0.35,4.95
174,0.50,-1.00,5.00,-2.00,-2.04,4.95,0.60,5.32
175,1.04,-3.00,4.00,0.00,-4.08,2.83,0.36,4.95
176,1.53,-4.00,3.00,2.00,-5.31,0.71,0.51,5.33
177,2.09,-4.00,1.00,4.00,-5.31,-2.12,0.77,5.66
178,2.58,-2.00,-1.00,5.00,-3.27,-4.24,0.49,5.33
179,3.11,0.00,-3.00,5.00,-0.82,-5.66,0.64,5.68
180,3.61,2.00,-4.00,3.00,2.04,-4.95,0.44,5.34
181,4.11,4.00,-4.00,1.00,4.49,-3.54,0.38,5.70
182,4.61,5.00,-2.00,-1.00,5.31,-0.71,0.18,5.35
183,5.14,5.00,0.00,-3.00,5.31,2.12,0.28,5.71
184,5.71,3.00,2.00,-4.00,3.27,4.24,0.46,5.33
185,6.21,1.00,4.00,-3.00,0.41,4.95,0.04,4.97
186,0.43,-1.00,5.00,-2.00,-2.04,4.95,0.21,5.35
187,0.94,-3.00,5.00,0.00,-4.49,3.54,0.20,5.71
188,1.45,-4.00,3.00,2.00,-5.31,0.71,0.09,5.35
189,1.96,-4.00,1.00,4.00,-5.31,-2.12,0.07,5.71
190,2.50,-2.00,-1.00,5.00,-3.27,-4.24,0.06,5.35
191,3.05,0.00,-3.00,5.00,-0.82,-5.66,0.29,5.71
192,3.58,2.00,-3.00,3.00,1.63,-4.24,0.31,4.54
193,4.12,4.00,-3.00,1.00,4.08,-2.83,0.05,4.97
194,4.64,4.00,-2.00,0.00,4.08,-1.41,1.11,4.17
195,5.18,5.00,0.00,-2.00,4.90,1.41,0.97,5.01
196,5.72,3.00,2.00,-3.00,2.86,3.54,0.52,4.52
197,6.26,1.00,3.00,-3.00,0.82,4.24,0.74,4.26
198,0.56,-1.00,4.00,-1.00,-2.04,3.54,0.14,4.08
199,1.09,-2.00,3.00,0.00,-2.86,2.12,0.57,3.51
200,1.63,-3.00,2.00,2.00,-4.08,0.00,0.25,4.07
201,2.19,-3.00,1.00,3.00,-4.08,-1.41,1.22,4.14
202,2.74,-1.00,-1.00,4.00,-2.04,-3.54,0.51,4.05
203,3.29,0.00,-2.00,3.00,-0.41,-3.54,0.94,3.43
204,3.84,2.00,-2.00,2.00,1.63,-2.83,0.57,3.22
205,4.42,3.00,-2.00,1.00,2.86,-2.12,1.22,3.34
206,4.98,3.00,0.00,-1.00,2.86,0.71,0.08,2.94
207,5.54,3.00,0.00,-1.00,2.86,0.71,1.63,2.45
208,6.08,1.00,2.00,-2.00,0.82,2.83,0.23,2.93
209,0.34,0.00,3.00,-2.00,-0.41,3.54,0.81,3.47
210,0.89,-1.00,4.00,0.00,-2.45,2.83,0.66,3.68
211,1.44,-2.00,3.00,0.00,-2.86,2.12,1.72,3.12
212,2.01,-3.00,1.00,3.00,-4.08,-1.41,0.44,4.30
213,2.55,-1.00,0.00,3.00,-2.04,-2.12,0.50,2.90
214,3.09,0.00,-2.00,4.00,-0.82,-4.24,0.58,4.28
215,3.63,1.00,-2.00,3.00,0.41,-3.54,1.29,3.32
216,4.17,3.00,-3.00,1.00,3.27,-2.83,0.72,4.26
217,4.68,4.00,-1.00,0.00,3.67,-0.71,0.57,3.70
218,5.20,4.00,0.00,-2.00,4.08,1.41,0.68,4.27
219,5.71,3.00,2.00,-3.00,2.86,3.54,0.49,4.52
220,6.28,1.00,4.00,-3.00,0.41,4.95,0.41,4.95
221,0.51,-1.00,4.00,-1.00,-2.04,3.54,-0.06,4.08
222,1.02,-3.00,4.00,0.00,-4.08,2.83,0.30,4.96
223,1.55,-4.00,3.00,2.00,-5.31,0.71,0.58,5.32
224,2.06,-3.00,1.00,4.00,-4.49,-2.12,0.25,4.96
225,2.57,-2.00,-1.00,5.00,-3.27,-4.24,0.46,5.33
226,3.08,0.00,-3.00,5.00,-0.82,-5.66,0.47,5.70
227,3.62,2.00,-4.00,3.00,2.04,-4.95,0.47,5.33
228,4.15,4.00,-3.00,1.00,4.08,-2.83,0.21,4.96
229,4.64,5.00,-2.00,-1.00,5.31,-0.71,0.35,5.34
230,5.18,5.00,0.00,-3.00,5.31,2.12,0.49,5.69
231,5.69,3.00,2.00,-4.00,3.27,4.24,0.36,5.34
